,NaturalGas:Plant,43.57,142768.06,12-JAN-01:00,229668.50,12-JAN-10:00
,Heating:NaturalGas,43.57,142768.06,12-JAN-01:00,229668.50,12-JAN-10:00
,Boiler:Heating:NaturalGas,43.57,142768.06,12-JAN-01:00,229668.50,12-JAN-10:00
,WaterSystems:NaturalGas,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Water Heater:WaterSystems:NaturalGas,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00


Annual and Peak Values - Cooling

,,Cooling Annual Value [ton-hrs],Cooling Minimum Value [ton],Timestamp of Minimum {TIMESTAMP},Cooling Maximum Value [ton],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Water

,,Annual Value [ft3],Minimum Value [ft3/min],Timestamp of Minimum {TIMESTAMP},Maximum Value [ft3/min],Timestamp of Maximum {TIMESTAMP}
,Water:Facility,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,Water:Plant,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,WaterSystems:Water,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,Domestic Hot Water:WaterSystems:Water,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,MainsWater:Facility,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,MainsWater:Plant,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,WaterSystems:MainsWater,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,Domestic Hot Water:WaterSystems:MainsWater,124.87,0.01,12-JAN-03:00,0.16,12-JAN-09:00
,Water Heater:WaterSystems:Water,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Water Heater:WaterSystems:MainsWater,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00


Annual and Peak Values - Other by Weight/Mass

,,Annual Value [lb],Minimum Value [lb/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [lb/s],Timestamp of Maximum {TIMESTAMP}
,Carbon Equivalent:Facility,0.00,0.000,12-JAN-01:00,0.000,12-JAN-01:00
,CarbonEquivalentEmissions:Carbon Equivalent,0.00,0.000,12-JAN-01:00,0.000,12-JAN-01:00


Annual and Peak Values - Other Volumetric

,,Annual Value [ft3],Minimum Value [ft3/min],Timestamp of Minimum {TIMESTAMP},Maximum Value [ft3/min],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Other Liquid/Gas

,,Annual Value [gal],Minimum Value [gal],Timestamp of Minimum {TIMESTAMP},Maximum Value [gal],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Other

,,Annual Value [kBtu],Minimum Value [Btu/h],Timestamp of Minimum {TIMESTAMP},Maximum Value [Btu/h],Timestamp of Maximum {TIMESTAMP}
,EnergyTransfer:Facility,11454.53,358075.84,12-JAN-01:00,614206.77,12-JAN-10:00
,EnergyTransfer:HVAC,4581.85,134120.75,12-JAN-01:00,267239.56,12-JAN-10:00
,CoolingCoils:EnergyTransfer,382.24,0.00,12-JAN-01:00,51428.07,12-JAN-10:00
,EnergyTransfer:Building,2820.26,103195.64,12-JAN-01:00,124059.17,12-JAN-05:00
,EnergyTransfer:Zone:HEATEDBSMT,825.12,31829.74,12-JAN-02:00,36217.63,12-JAN-24:00
,Heating:EnergyTransfer,2820.26,103195.64,12-JAN-01:00,124059.17,12-JAN-05:00
,Heating:EnergyTransfer:Zone:HEATEDBSMT,825.12,31829.74,12-JAN-02:00,36217.63,12-JAN-24:00
,General:Heating:EnergyTransfer,2820.26,103195.64,12-JAN-01:00,124059.17,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:HEATEDBSMT,825.12,31829.74,12-JAN-02:00,36217.63,12-JAN-24:00
,Cooling:EnergyTransfer,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Cooling:EnergyTransfer:Zone:HEATEDBSMT,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:HEATEDBSMT,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:BREEZEWAY,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Heating:EnergyTransfer:Zone:BREEZEWAY,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Heating:EnergyTransfer:Zone:BREEZEWAY,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Cooling:EnergyTransfer:Zone:BREEZEWAY,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:BREEZEWAY,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,175.60,6630.91,12-JAN-01:00,7858.70,12-JAN-24:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,175.60,6630.91,12-JAN-01:00,7858.70,12-JAN-24:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,175.60,6630.91,12-JAN-01:00,7858.70,12-JAN-24:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,140.37,5196.58,12-JAN-19:00,6238.09,12-JAN-14:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,140.37,5196.58,12-JAN-19:00,6238.09,12-JAN-14:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,140.37,5196.58,12-JAN-19:00,6238.09,12-JAN-14:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,173.66,6630.14,12-JAN-01:00,7859.00,12-JAN-24:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,173.66,6630.14,12-JAN-01:00,7859.00,12-JAN-24:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,173.66,6630.14,12-JAN-01:00,7859.00,12-JAN-24:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,177.56,6641.54,12-JAN-01:00,7869.12,12-JAN-24:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,177.56,6641.54,12-JAN-01:00,7869.12,12-JAN-24:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,177.56,6641.54,12-JAN-01:00,7869.12,12-JAN-24:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,142.42,5242.05,12-JAN-19:00,6404.42,12-JAN-10:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,142.42,5242.05,12-JAN-19:00,6404.42,12-JAN-10:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,142.42,5242.05,12-JAN-19:00,6404.42,12-JAN-10:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,175.65,6638.52,12-JAN-01:00,7869.11,12-JAN-24:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,175.65,6638.52,12-JAN-01:00,7869.11,12-JAN-24:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,175.65,6638.52,12-JAN-01:00,7869.11,12-JAN-24:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,78.53,2719.51,12-JAN-19:00,3718.29,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,78.53,2719.51,12-JAN-19:00,3718.29,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,78.53,2719.51,12-JAN-19:00,3718.29,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,41.78,1155.16,12-JAN-21:00,2078.14,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,41.78,1155.16,12-JAN-21:00,2078.14,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,41.78,1155.16,12-JAN-21:00,2078.14,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,76.43,2702.35,12-JAN-19:00,3695.08,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,76.43,2702.35,12-JAN-19:00,3695.08,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,76.43,2702.35,12-JAN-19:00,3695.08,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,80.54,2770.95,12-JAN-19:00,3790.89,12-JAN-10:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,80.54,2770.95,12-JAN-19:00,3790.89,12-JAN-10:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,80.54,2770.95,12-JAN-19:00,3790.89,12-JAN-10:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,43.79,1191.31,12-JAN-21:00,2259.56,12-JAN-10:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,43.79,1191.31,12-JAN-21:00,2259.56,12-JAN-10:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,43.79,1191.31,12-JAN-21:00,2259.56,12-JAN-10:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,78.43,2752.25,12-JAN-19:00,3687.41,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,78.43,2752.25,12-JAN-19:00,3687.41,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,78.43,2752.25,12-JAN-19:00,3687.41,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:ATTIC,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Heating:EnergyTransfer:Zone:ATTIC,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Heating:EnergyTransfer:Zone:ATTIC,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Cooling:EnergyTransfer:Zone:ATTIC,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:ATTIC,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,113.75,3837.02,12-JAN-01:00,5294.63,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,113.75,3837.02,12-JAN-01:00,5294.63,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,113.75,3837.02,12-JAN-01:00,5294.63,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,111.84,3824.95,12-JAN-01:00,5303.51,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,111.84,3824.95,12-JAN-01:00,5303.51,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,111.84,3824.95,12-JAN-01:00,5303.51,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,114.00,3831.21,12-JAN-01:00,5330.51,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,114.00,3831.21,12-JAN-01:00,5330.51,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,114.00,3831.21,12-JAN-01:00,5330.51,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,78.42,2406.80,12-JAN-01:00,3854.88,12-JAN-10:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,78.42,2406.80,12-JAN-01:00,3854.88,12-JAN-10:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,78.42,2406.80,12-JAN-01:00,3854.88,12-JAN-10:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,76.48,2392.97,12-JAN-01:00,3664.30,12-JAN-05:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,76.48,2392.97,12-JAN-01:00,3664.30,12-JAN-05:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,76.48,2392.97,12-JAN-01:00,3664.30,12-JAN-05:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,115.92,3844.03,12-JAN-01:00,5413.71,12-JAN-10:00
,Heating:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,115.92,3844.03,12-JAN-01:00,5413.71,12-JAN-10:00
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,115.92,3844.03,12-JAN-01:00,5413.71,12-JAN-10:00
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,PlantLoopHeatingDemand:Facility,4007.74,116192.13,12-JAN-01:00,223266.90,12-JAN-10:00
,PlantLoopHeatingDemand:Plant,567.05,2257.78,12-JAN-03:00,43387.24,12-JAN-09:00
,WaterSystems:PlantLoopHeatingDemand,567.05,2257.78,12-JAN-03:00,43387.24,12-JAN-09:00
,General:WaterSystems:PlantLoopHeatingDemand,567.05,2257.78,12-JAN-03:00,43387.24,12-JAN-09:00
,HeatRecoveryForHeating:EnergyTransfer,758.92,24473.61,12-JAN-01:00,36079.63,12-JAN-24:00
,HeatRecoveryForCooling:EnergyTransfer,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,HeatingCoils:EnergyTransfer,3440.68,109647.14,12-JAN-01:00,182949.15,12-JAN-10:00
,PlantLoopHeatingDemand:HVAC,3440.68,109647.14,12-JAN-01:00,182949.15,12-JAN-10:00
,HeatingCoils:PlantLoopHeatingDemand,3440.68,109647.14,12-JAN-01:00,182949.15,12-JAN-10:00
,EnergyTransfer:Plant,4052.42,120759.45,12-JAN-01:00,224052.55,12-JAN-10:00
,WaterSystems:EnergyTransfer,567.05,2257.78,12-JAN-03:00,43387.24,12-JAN-09:00
,Domestic Hot Water:WaterSystems:EnergyTransfer,567.05,2257.78,12-JAN-03:00,43387.24,12-JAN-09:00
,Boilers:EnergyTransfer,3485.37,114214.45,12-JAN-01:00,183734.80,12-JAN-10:00
,Water Heater:WaterSystems:PlantLoopHeatingDemand,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00


----------------------------------------------------------------------------------------------------
REPORT:,Sensible Heat Gain Summary
FOR:,Entire Facility
Annual Building Sensible Heat Gain Components

,,HVAC Zone Eq & Other Sensible Air Heating [kBtu],HVAC Zone Eq & Other Sensible Air Cooling [ton-hrs],HVAC Terminal Unit Sensible Air Heating [kBtu],HVAC Terminal Unit Sensible Air Cooling [ton-hrs],HVAC Input Heated Surface Heating [kBtu],HVAC Input Cooled Surface Cooling [ton-hrs],People Sensible Heat Addition [kBtu],Lights Sensible Heat Addition [kBtu],Equipment Sensible Heat Addition [kBtu],Window Heat Addition [kBtu],Interzone Air Transfer Heat Addition [kBtu],Infiltration Heat Addition [kBtu],Opaque Surface Conduction and Other Heat Addition [kBtu],Equipment Sensible Heat Removal [kBtu],Window Heat Removal [kBtu],Interzone Air Transfer Heat Removal [kBtu],Infiltration Heat Removal [kBtu],Opaque Surface Conduction and Other Heat Removal [kBtu]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.000,-3.51,217.701,0.000,0.000,0.000,8.807,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-41.50,0.000,-40.90,-136.66
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.000,-3.51,182.492,0.000,0.000,0.000,8.807,5.892,28.773,0.294,0.000,0.000,0.000,0.000,-15.99,0.000,-36.01,-132.12
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.000,-3.51,215.772,0.000,0.000,0.000,8.808,5.892,28.773,0.880,0.000,0.000,0.000,0.000,-40.37,0.000,-40.90,-136.74
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.000,-3.51,219.670,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-43.31,0.000,-40.90,-136.82
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.000,-3.51,184.543,0.000,0.000,0.000,8.807,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-17.53,0.000,-36.01,-132.35
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.000,-3.51,217.767,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-41.29,0.000,-40.90,-136.93
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.000,-3.52,120.758,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-44.03,0.000,-17.92,-60.05
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.000,-3.52,84.036,0.000,0.000,0.000,8.808,5.892,28.773,0.242,0.000,0.000,0.000,0.000,-17.01,0.000,-13.04,-55.45
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.000,-3.52,118.657,0.000,0.000,0.000,8.808,5.892,28.773,0.767,0.000,0.000,0.000,0.000,-42.65,0.000,-17.92,-60.10
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.000,-3.52,122.769,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-45.77,0.000,-17.92,-60.32
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.000,-3.52,86.040,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-18.54,0.000,-13.04,-55.69
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.000,-3.52,120.659,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-43.62,0.000,-17.92,-60.36
,LIVING_UNIT3_BACKROW_TOPFLOOR,0.000,-3.51,155.857,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-43.70,0.000,-40.96,-72.56
,LIVING_UNIT3_FRONTROW_TOPFLOOR,0.000,-3.51,153.944,0.000,0.000,0.000,8.808,5.892,28.773,0.755,0.000,0.000,0.000,0.000,-42.73,0.000,-40.96,-72.37
,LIVING_UNIT1_FRONTROW_TOPFLOOR,0.000,-3.51,156.110,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-44.20,0.000,-40.96,-72.31
,LIVING_UNIT2_BACKROW_TOPFLOOR,0.000,-3.51,120.535,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-18.57,0.000,-36.07,-67.24
,LIVING_UNIT2_FRONTROW_TOPFLOOR,0.000,-3.51,118.595,0.000,0.000,0.000,8.808,5.892,28.773,0.236,0.000,0.000,0.000,0.000,-17.07,0.000,-36.07,-67.05
,LIVING_UNIT1_BACKROW_TOPFLOOR,0.000,-3.51,158.023,0.000,0.000,0.000,8.808,5.892,28.773,0.000,0.000,0.000,0.000,0.000,-45.92,0.000,-40.96,-72.50
,HEATEDBSMT,0.000,-3.83,871.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-825.11
,BREEZEWAY,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,ATTIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.797,136.764,0.000,0.000,0.000,-185.56,-7.85
,Total Facility,0.000,-67.02,3625.005,0.000,0.000,0.000,158.538,106.051,517.916,3.173,0.000,48.797,136.764,0.000,-623.79,0.000,-754.93,-2420.58


Peak Cooling Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [Btu/h],HVAC Zone Eq & Other Sensible Air Cooling [ton],HVAC Terminal Unit Sensible Air Heating [Btu/h],HVAC Terminal Unit Sensible Air Cooling [ton],HVAC Input Heated Surface Heating [Btu/h],HVAC Input Cooled Surface Cooling [ton],People Sensible Heat Addition [Btu/h],Lights Sensible Heat Addition [Btu/h],Equipment Sensible Heat Addition [Btu/h],Window Heat Addition [Btu/h],Interzone Air Transfer Heat Addition [Btu/h],Infiltration Heat Addition [Btu/h],Opaque Surface Conduction and Other Heat Addition [Btu/h],Equipment Sensible Heat Removal [Btu/h],Window Heat Removal [Btu/h],Interzone Air Transfer Heat Removal [Btu/h],Infiltration Heat Removal [Btu/h],Opaque Surface Conduction and Other Heat Removal [Btu/h]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
