
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  3.31E-006  4.748E-006 4.535E-009 6.505E-009
l3233353                 7.295      1.013          0          0         0         0
l3029506                 7.433      1.032          0          0         0         0
l3010559                 7.327      1.018          0          0         0         0
m1069213                 7.399      1.028          0          0         0         0
l3178977                 7.399      1.028          0          0         0         0
m1108534                 7.426      1.031     0.1519      2.046    0.1905     2.565
p901934                  7.377      1.025          0          0         0         0
p829796                    7.5      1.042          0          0         0         0
n1142107                 7.499      1.042          0          0         0         0
l2691965                 7.308      1.015          0          0         0         0
l2785538                 7.176     0.9967          0          0         0         0
n1139259                 7.301      1.014          0          0         0         0
l2710543                 7.301      1.014          0          0         0         0
q1301                    7.277      1.011    0.08583      1.179    0.1323     1.817
l3160872                 7.276      1.011    0.08618      1.184    0.1331      1.83
p827509                  7.201          1          0          0         0         0
m1047793                 7.172     0.9961          0          0         0         0
p827555                  7.172     0.9961          0          0         0         0
l2879069                 7.346       1.02          0          0         0         0
l2955006                 7.494      1.041          0          0         0         0
l2692600                 7.494      1.041          0          0         0         0
l3029505                 7.458      1.036          0          0         0         0
l2673318                 7.458      1.036          0          0         0         0
m1026682                  7.22      1.003          0          0         0         0
m1047424                 7.202          1          0          0         0         0
l2691949                 7.202          1          0          0         0         0
m1026699                 7.123     0.9894          0          0         0         0
l3085403                  7.22      1.003          0          0         0         0
m4113345                 7.376      1.025          0          0         0         0
l3235255                 7.281      1.011    0.07096     0.9746    0.1052     1.445
m1047316                 7.278      1.011    0.07149     0.9822    0.1063     1.461
m1026886                 7.342       1.02     0.2258      3.075    0.2656     3.618
l3120484                 7.342       1.02     0.2258      3.075    0.2656     3.618
l2879078                 7.283      1.012     0.1895      2.602    0.2709     3.719
m1026681                 7.283      1.012     0.1894      2.601    0.2708     3.718
l3232902                 7.119     0.9888     0.1417      1.991     0.274     3.848
l3123509                 7.416       1.03    0.04902      0.661   0.05792     0.781
m1209772                 7.416       1.03    0.04902      0.661   0.05792     0.781
r20703                   7.131     0.9904     0.1373      1.925    0.2633     3.693
l2859403                 7.128     0.9901     0.1383       1.94    0.2658     3.728
m1026927                 7.319      1.017     0.2252      3.076    0.2706     3.697
m1125914                 7.263      1.009    0.07866      1.083    0.1079     1.486
l2917328                 7.262      1.009    0.07854      1.082    0.1073     1.478
l2841635                 7.367      1.023     0.2223      3.017    0.2313     3.139
l2766499                 7.414       1.03          0          0         0         0
m1047444                 7.161     0.9946          0          0         0         0
m1108459                 7.045     0.9786          0          0         0         0
l2802480                 7.044     0.9784          0          0         0         0
l2691954                 7.236      1.005    0.08508      1.176    0.1282     1.772
l3122849                 7.234      1.005    0.08614      1.191      0.13     1.797
l2764411                 7.365      1.023          0          0         0         0
m1026907                 7.327      1.018     0.2271      3.099    0.2687     3.667
l2729206                 7.416       1.03          0          0         0         0
l2804957                 7.364      1.023          0          0         0         0
l3048937                 7.364      1.023          0          0         0         0
l2822872                 7.361      1.022     0.2268      3.081    0.2231     3.031
l3235946                 6.772     0.9406          0          0         0         0
m1126005                 6.768     0.9401          0          0         0         0
m1009698                 7.222      1.003          0          0         0         0
l3156034                 7.221      1.003          0          0         0         0
l3254205                 7.399      1.028          0          0         0         0
l3197647                 7.297      1.014          0          0         0         0
m1026778                 7.297      1.014          0          0         0         0
m1026844                 7.305      1.015     0.2306      3.156    0.2676     3.663
n1147861                 7.369      1.024          0          0         0         0
l2973833                 7.353      1.021    0.06587     0.8959   0.09009     1.225
m1166373                 7.349      1.021    0.06687     0.9099   0.09206     1.253
l2991902                 6.989     0.9708          0          0         0         0
m1008758                 6.986     0.9704          0          0         0         0
m1026734                 7.217      1.002          0          0         0         0
l3065696                 7.217      1.002          0          0         0         0
l2748780                 6.766     0.9398          0          0         0         0
m1125987                 7.155     0.9938     0.1279      1.788    0.2398     3.351
p901945                  7.155     0.9938     0.1279      1.788    0.2398     3.351
p901910                  7.243      1.006          0          0         0         0
l3027122                 6.779     0.9416          0          0         0         0
m1108506                 6.779     0.9416          0          0         0         0
l2841637                 7.399      1.028          0          0         0         0
n1139539                 7.304      1.015          0          0         0         0
l2710520                 7.303      1.014          0          0         0         0
m1089119                  7.46      1.036     0.0477     0.6395     0.035    0.4691
p827521                   7.44      1.033          0          0         0         0
l3046854                 7.139     0.9916          0          0         0         0
m1047478                 7.323      1.017          0          0         0         0
l2766716                 7.322      1.017          0          0         0         0
n1137003                 7.384      1.026          0          0         0         0
l2973171                 7.255      1.008          0          0         0         0
l3085392                 7.271       1.01          0          0         0         0
p875742                  7.347       1.02          0          0         0         0
m1010008                 7.144     0.9923          0          0         0         0
l3784018                 7.334      1.019     0.2632      3.588    0.2328     3.174
m1026703                 7.263      1.009          0          0         0         0
l2973166                 7.263      1.009          0          0         0         0
l3068944                 7.185      0.998          0          0         0         0
m1047550                 7.496      1.041     0.2373      3.166    0.2141     2.856
l2936270                 7.449      1.035          0          0         0         0
l3086078                 7.449      1.035          0          0         0         0
m1047593                 7.406      1.029     0.2362       3.19    0.2274      3.07
m1047615                 7.398      1.028     0.2381      3.219    0.2261     3.056
m1009855                 7.251      1.007          0          0         0         0
l2748139                 7.251      1.007          0          0         0         0
n1140832                 7.253      1.007          0          0         0         0
l2841631                 7.253      1.007          0          0         0         0
m1047819                 7.145     0.9925          0          0         0         0
l2916610                  7.39      1.026          0          0         0         0
l2879076                 7.423      1.031          0          0         0         0
m1089122                 7.422      1.031          0          0         0         0
l2691939                 7.268      1.009          0          0         0         0
m1069489                 7.305      1.015          0          0         0         0
l2933120                 7.304      1.015          0          0         0         0
m1069225                  7.39      1.026          0          0         0         0
m1089120                 7.467      1.037     0.0474     0.6348   0.03516    0.4708
l3645810                 7.404      1.028          0          0         0         0
m3763623                 7.404      1.028          0          0         0         0
l3649304                 7.366      1.023          0          0         0         0
m1027042                 7.311      1.015          0          0         0         0
l3178969                 7.256      1.008          0          0         0         0
l2729401                 7.256      1.008          0          0         0         0
l3235249                  7.32      1.017          0          0         0         0
l2954348                 7.319      1.017          0          0         0         0
l3066812                 7.347       1.02          0          0         0         0
l2841622                 7.346       1.02          0          0         0         0
m1209787                 7.453      1.035    0.04036     0.5415   0.04011    0.5382
l2823611                 7.441      1.034    0.04329     0.5817   0.04601    0.6183
196-35541                7.416       1.03          0          0         0         0
m1108317                 7.408      1.029          0          0         0         0
m1047340                 7.276      1.011          0          0         0         0
l2991923                 7.275      1.011          0          0         0         0
m1026661                 7.219      1.003          0          0         0         0
p827530                  7.219      1.003          0          0         0         0
p827503                  7.317      1.016          0          0         0         0
n1147865                 7.185      0.998          0          0         0         0
l2895489                 7.185      0.998          0          0         0         0
l2730163                 7.267      1.009     0.0794      1.093    0.1105      1.52
m1089103                 7.429      1.032          0          0         0         0
l3048196                 7.428      1.032          0          0         0         0
l2673306                 7.255      1.008          0          0         0         0
l2726973                 7.355      1.022     0.2272      3.089    0.2208     3.002
m1047485                 7.352      1.021     0.2277      3.097     0.219     2.979
l2991640                  7.29      1.013          0          0         0         0
m1089160                  7.29      1.013          0          0         0         0
l3160101                 7.327      1.018          0          0         0         0
m1125905                 7.183     0.9976          0          0         0         0
m1026950                 7.299      1.014     0.2197      3.009    0.2753     3.772
m1026954                 7.296      1.013     0.2187      2.998    0.2762     3.785
m1047558                 7.504      1.042     0.2379       3.17    0.2128     2.835
n1136659                 7.535      1.047          0          0         0         0
l2766741                 7.279      1.011      0.242      3.324    0.1863     2.559
m1069564                 7.344       1.02     0.1687      2.297    0.2691     3.664
n1136361                 7.224      1.003          0          0         0         0
m1047566                 7.518      1.044     0.2389      3.178    0.2106     2.802
n1137995                 7.552      1.049          0          0         0         0
n1145955                 7.168     0.9956          0          0         0         0
m1069461                  7.31      1.015     0.2351      3.217    0.1974     2.701
p827574                  7.348      1.021          0          0         0         0
m1069156                 7.369      1.024    0.05193     0.7047   0.06048    0.8207
l3195356                 7.419      1.031    0.04801     0.6471   0.03542    0.4774
n1137996                 7.475      1.038          0          0         0         0
l3178979                 7.475      1.038          0          0         0         0
l3254231                 7.175     0.9966          0          0         0         0
l3728042                 7.356      1.022          0          0         0         0
l3728043                 7.356      1.022          0          0         0         0
m1047723                 7.173     0.9963          0          0         0         0
m1047729                 7.173     0.9963          0          0         0         0
l2895461                 7.297      1.014          0          0         0         0
l3029518                 7.272       1.01          0          0         0         0
l2897807                 7.272       1.01          0          0         0         0
l2785520                 7.211      1.002          0          0         0         0
n1139542                 7.427      1.032          0          0         0         0
221-308718               7.119     0.9888     0.1392      1.955     0.262      3.68
m1209750                 7.376      1.024          0          0         0         0
l3254869                  7.11     0.9875          0          0         0         0
l2798067                  7.11     0.9875          0          0         0         0
m1047403                 7.164     0.9951          0          0         0         0
m1047404                 7.164     0.9951          0          0         0         0
l3102793                 7.239      1.005          0          0         0         0
m1089141                 7.102     0.9864    0.08958      1.261     0.117     1.648
n1139547                 7.172     0.9962    0.08383      1.169    0.1104      1.54
l2688693                  7.16     0.9945    0.08481      1.185    0.1115     1.558
l3048222                 7.362      1.023          0          0         0         0
l3104117                 7.303      1.014          0          0         0         0
221-311583               7.337      1.019          0          0         0         0
n1139250                 7.337      1.019          0          0         0         0
l2690187                 7.051     0.9793          0          0         0         0
m1108412                 7.049     0.9791          0          0         0         0
m1026690                 7.284      1.012     0.1897      2.604     0.271      3.72
p873801                  7.268       1.01          0          0         0         0
m1089138                 7.013      0.974          0          0         0         0
l2841628                 7.012      0.974          0          0         0         0
m1069364                 7.271       1.01          0          0         0         0
l2689678                  7.19     0.9987          0          0         0         0
m1026463                 7.183     0.9977          0          0         0         0
l2692655                 7.277      1.011    0.08054      1.107    0.1157      1.59
m1142821                 7.276      1.011    0.08045      1.106    0.1153     1.584
p827508                  7.391      1.027          0          0         0         0
n1144667                 7.184     0.9978          0          0         0         0
m1089162                 7.291      1.013          0          0         0         0
l3029520                 7.134     0.9909          0          0         0         0
m1009655                  7.25      1.007          0          0         0         0
p827528                  7.249      1.007          0          0         0         0
l2991906                 7.027      0.976          0          0         0         0
m1027056                 7.185      0.998          0          0         0         0
l3066814                  7.35      1.021     0.1646       2.24    0.2597     3.534
m1108398                 7.116     0.9884     0.1392      1.956    0.2622     3.685
m1108483                 6.837     0.9497          0          0         0         0
m1108486                 6.837     0.9497          0          0         0         0
m1026341                 7.221      1.003    0.09224      1.277    0.1407     1.948
p827531                  7.169     0.9957          0          0         0         0
l2748133                  7.39      1.026          0          0         0         0
l3085399                  7.39      1.026          0          0         0         0
l2767342                 6.767     0.9399          0          0         0         0
m1125944                 7.219      1.003      0.105      1.454    0.1804     2.499
m1125947                 7.206      1.001     0.1094      1.518    0.1916     2.659
l2710511                 7.396      1.027          0          0         0         0
l2766719                 7.396      1.027          0          0         0         0
p827549                  7.123     0.9893          0          0         0         0
n1140518                 7.122     0.9893          0          0         0         0
l2766728                 7.413       1.03          0          0         0         0
m1069462                 7.299      1.014          0          0         0         0
l3216342                 7.299      1.014          0          0         0         0
m1027041                 7.309      1.015          0          0         0         0
l2916607                 7.309      1.015          0          0         0         0
l2710513                 7.133     0.9908          0          0         0         0
m1009839                 7.251      1.007          0          0         0         0
l2973165                 7.338      1.019          0          0         0         0
m1108501                 6.777     0.9413          0          0         0         0
m1108499                 6.775     0.9411          0          0         0         0
m1069227                  7.39      1.027          0          0         0         0
l2785546                 7.304      1.014          0          0         0         0
m1026810                 7.302      1.014          0          0         0         0
m1108368                 7.275       1.01          0          0         0         0
l3085393                 7.275       1.01          0          0         0         0
l3178974                 7.134     0.9909          0          0         0         0
m1026774                 7.336      1.019     0.2096      2.858    0.2469     3.366
m1026769                 7.329      1.018     0.2071      2.825    0.2502     3.414
l3189189                 7.391      1.027          0          0         0         0
l2821770                 7.337      1.019          0          0         0         0
m1069555                 7.277      1.011          0          0         0         0
l3252336                 7.043     0.9783          0          0         0         0
p829977                  7.416       1.03    0.04908     0.6618   0.05796    0.7816
l2820556                 7.171      0.996          0          0         0         0
m1047410                  7.17      0.996          0          0         0         0
m1027001                 7.153     0.9936          0          0         0         0
m1047344                 7.226      1.004          0          0         0         0
l3029499                 7.225      1.004          0          0         0         0
221-282818               7.055     0.9799          0          0         0         0
m1026830                 7.398      1.028     0.2296      3.104    0.2392     3.234
p827511                  7.406      1.029          0          0         0         0
p895105                  7.013      0.974          0          0         0         0
n1142110                 7.013      0.974          0          0         0         0
n1142111                 7.031     0.9765          0          0         0         0
l2991912                  7.03     0.9765          0          0         0         0
l3010569                 7.227      1.004          0          0         0         0
m1047335                 7.226      1.004          0          0         0         0
l3216368                 7.287      1.012     0.1914      2.627    0.2692     3.695
l2879081                  7.22      1.003          0          0         0         0
l3104144                 7.223      1.003          0          0         0         0
l2916619                 7.239      1.005          0          0         0         0
m1126031                 7.491       1.04          0          0         0         0
l3179608                 7.491       1.04          0          0         0         0
l2990098                 6.866     0.9536          0          0         0         0
m1108462                 6.865     0.9536          0          0         0         0
l2673326                  7.25      1.007          0          0         0         0
m1142815                 7.271       1.01    0.08083      1.112    0.1151     1.583
n1141477                 7.164     0.9951          0          0         0         0
n1139252                 7.243      1.006          0          0         0         0
l3122812                 7.243      1.006          0          0         0         0
m1166386                 7.487       1.04          0          0         0         0
m1089163                  7.29      1.013          0          0         0         0
n1142100                 7.102     0.9865     0.1481      2.085    0.2894     4.075
m1069456                 7.256      1.008          0          0         0         0
l2897806                 7.255      1.008          0          0         0         0
l2822865                 7.346       1.02          0          0         0         0
l3195321                 6.764     0.9396          0          0         0         0
l3197646                  7.36      1.022     0.2252       3.06    0.2612     3.549
m1026829                 7.299      1.014     0.2315      3.172    0.2675     3.664
n1147859                 7.298      1.014          0          0         0         0
l3139121                 7.245      1.006    0.08122      1.121    0.1218     1.681
l2763153                 7.242      1.006    0.08243      1.138    0.1238      1.71
e182726                  7.308      1.015          0          0         0         0
l2766744                 7.307      1.015          0          0         0         0
l3216370                 7.277      1.011    0.07164     0.9845    0.1067     1.466
226-23745                7.482      1.039          0          0         0         0
m1142828                 7.278      1.011    0.08065      1.108    0.1163     1.598
l2674047                 7.278      1.011    0.08065      1.108    0.1163     1.598
m3949157                 7.359      1.022          0          0         0         0
l3727711                 7.359      1.022          0          0         0         0
m1026329                 7.215      1.002    0.09757      1.352    0.1472      2.04
m1026328                 7.215      1.002    0.09827      1.362    0.1481     2.053
m1108355                 7.337      1.019          0          0         0         0
m1108352                 7.337      1.019          0          0         0         0
l3086002                 7.492      1.041          0          0         0         0
n1134476                 7.352      1.021     0.1642      2.234    0.2578     3.507
m1069284                 7.337      1.019          0          0         0         0
p850401                  7.337      1.019          0          0         0         0
d5502543-2_int           7.345       1.02     0.2256      3.071    0.2649     3.606
q14413                   7.345       1.02     0.2256      3.071    0.2649     3.606
l3029503                 7.416       1.03          0          0         0         0
n1140524                 7.321      1.017          0          0         0         0
m1047792                 7.171     0.9961          0          0         0         0
l2876846                  7.17     0.9959          0          0         0         0
m1089165                 7.278      1.011          0          0         0         0
l3216343                 7.277      1.011          0          0         0         0
l2748144                 7.345       1.02      0.168      2.287    0.2675     3.643
l3010562                 7.171     0.9961          0          0         0         0
m1069557                 7.276      1.011          0          0         0         0
m1047374                 7.192     0.9989          0          0         0         0
l3197629                 7.192     0.9989          0          0         0         0
m1089202                 7.391      1.027      0.157      2.124    0.2211     2.992
m1089203                 7.387      1.026     0.1575      2.132     0.224     3.032
m1026866                  7.31      1.015     0.2296      3.141    0.2679     3.664
m1149235                 7.312      1.016    0.07661      1.048    0.1117     1.527
l2766720                 7.272       1.01          0          0         0         0
m1209791                 7.476      1.038    0.03522     0.4711   0.02975     0.398
p903354                   7.45      1.035          0          0         0         0
m1026960                 7.288      1.012      0.216      2.964    0.2784      3.82
m3729981                 7.223      1.003          0          0         0         0
l3011298                 7.238      1.005     0.0788      1.089    0.1049     1.449
m1108524                 7.501      1.042          0          0         0         0
n1136031                 7.501      1.042          0          0         0         0
m1026722                 7.123     0.9894          0          0         0         0
l2991915                 7.122     0.9893          0          0         0         0
l2673320                 7.122     0.9892          0          0         0         0
m1047497                 7.368      1.023     0.2266      3.075    0.2246     3.048
m1047755                 7.347       1.02          0          0         0         0
m3037441                 7.288      1.012      0.192      2.634    0.2687     3.686
n1140824                 7.227      1.004          0          0         0         0
m1026709                 7.285      1.012     0.1905      2.615    0.2702     3.708
l3729298                 7.362      1.023          0          0         0         0
l3727707                 7.361      1.022          0          0         0         0
l3160123                 7.347      1.021          0          0         0         0
l2897805                 7.347      1.021          0          0         0         0
m1089094                 7.419      1.031          0          0         0         0
m1125917                 7.264      1.009    0.07892      1.086    0.1087     1.496
m1069154                 7.354      1.021    0.05586     0.7596   0.06973    0.9482
l3197630                 7.342       1.02     0.0593     0.8077   0.07719     1.051
m1026343                 7.169     0.9957          0          0         0         0
m1069155                 7.361      1.022    0.05402     0.7338   0.06553    0.8903
l2785523                 7.426      1.031          0          0         0         0
l3141388                 7.425      1.031          0          0         0         0
m1026786                 7.344       1.02     0.2131      2.902    0.2425     3.302
m1026785                 7.344       1.02      0.213        2.9    0.2426     3.304
n1137958                 7.323      1.017          0          0         0         0
m1026877                 7.332      1.018          0          0         0         0
l2820583                  7.34      1.019          0          0         0         0
m1108354                 7.339      1.019          0          0         0         0
l2991911                 7.442      1.034          0          0         0         0
n1136363                 7.344       1.02     0.1687      2.297    0.2691     3.664
r18245                   7.344       1.02     0.1687      2.297    0.2691     3.664
221-306686               7.268       1.01          0          0         0         0
l2970258                 7.268       1.01          0          0         0         0
l2841632                 7.243      1.006     0.1657      2.288    0.2993     4.133
regxfmr_190-8593         7.239      1.005     0.1657      2.289    0.3003     4.148
p1197121                 7.435      1.033          0          0         0         0
l2805031                 7.435      1.033          0          0         0         0
m1069226                  7.39      1.027          0          0         0         0
l2860506                 7.308      1.015          0          0         0         0
l2954346                 7.135     0.9911          0          0         0         0
l2879077                 7.125     0.9897          0          0         0         0
d5860423-3_int            7.52      1.045     0.2392      3.181    0.2102     2.795
190-8593                 7.521      1.045     0.2393      3.181      0.21     2.792
l3139366                 7.412       1.03    0.04897     0.6607   0.05783    0.7802
m4362177                 7.411      1.029    0.04896     0.6607   0.05775    0.7793
l2763812                 7.258      1.008          0          0         0         0
l2951995                 7.256      1.008          0          0         0         0
l3197638                 7.294      1.013          0          0         0         0
m1026849                 7.294      1.013          0          0         0         0
n1137993                  7.36      1.022          0          0         0         0
l2860482                 7.359      1.022          0          0         0         0
p901946                   6.78     0.9417          0          0         0         0
n1142105                  6.78     0.9417          0          0         0         0
m1026905                 7.331      1.018     0.2266      3.092     0.268     3.656
p827515                  7.287      1.012          0          0         0         0
m1108520                 7.501      1.042          0          0         0         0
l2804277                   7.5      1.042          0          0         0         0
l2991913                 7.386      1.026          0          0         0         0
l2933165                 7.255      1.008          0          0         0         0
l3235273                 7.255      1.008          0          0         0         0
l3029502                 7.056     0.9801    0.09332      1.323    0.1209     1.714
m1047780                 7.179     0.9971          0          0         0         0
l3066811                 7.178     0.9971          0          0         0         0
m1047732                 7.352      1.021     0.2539      3.454    0.2283     3.106
n1137987                 7.435      1.033          0          0         0         0
l3197661                 7.404      1.028          0          0         0         0
l3122848                 7.404      1.028          0          0         0         0
m1047580                  7.41      1.029     0.2355      3.178    0.2279     3.076
m1108345                 7.337      1.019          0          0         0         0
m1108347                 7.337      1.019          0          0         0         0
d5655682-1_int           7.326      1.018          0          0         0         0
e182725                  7.326      1.018          0          0         0         0
d5926308-3_int           7.291      1.013    0.06904     0.9469    0.1011     1.387
l2860491                 7.293      1.013    0.06869     0.9418    0.1003     1.375
l2897770                 7.275       1.01          0          0         0         0
l3104127                 7.202          1          0          0         0         0
l2767343                 7.365      1.023          0          0         0         0
l2786266                 7.343       1.02    0.06866     0.9351   0.09565     1.303
l2785512                 7.143     0.9922          0          0         0         0
p827529                  7.434      1.032          0          0         0         0
n1136668                 7.434      1.032          0          0         0         0
m1027114                 7.155     0.9938          0          0         0         0
l3195327                 7.154     0.9937          0          0         0         0
m1027121                 7.152     0.9934          0          0         0         0
m1027123                 7.152     0.9934          0          0         0         0
l3104157                 7.405      1.029          0          0         0         0
p895409                  7.381      1.025          0          0         0         0
d6138608-3_int           7.046     0.9786    0.09418      1.337    0.1218     1.729
q14404                   7.045     0.9786    0.09418      1.337    0.1218     1.729
l2991927                 7.251      1.007          0          0         0         0
m1089155                 7.305      1.015          0          0         0         0
m1089158                   7.3      1.014          0          0         0         0
m1026324                  7.05     0.9793          0          0         0         0
m1026323                 7.047     0.9788          0          0         0         0
l2804258                 7.167     0.9955          0          0         0         0
p829978                  7.261      1.008          0          0         0         0
l2992656                  7.26      1.008          0          0         0         0
l2936271                 7.272       1.01    0.08044      1.106    0.1143     1.572
m1069544                 7.278      1.011          0          0         0         0
l2916598                 7.326      1.018          0          0         0         0
l2954344                 7.307      1.015          0          0         0         0
l2897767                 7.306      1.015          0          0         0         0
l2876796                 7.348      1.021          0          0         0         0
m1047756                 7.347       1.02          0          0         0         0
l3122810                 7.142     0.9921          0          0         0         0
m1108379                 7.127     0.9899     0.1382       1.94    0.2614     3.668
n1140822                 7.265      1.009          0          0         0         0
l2860478                 7.267      1.009          0          0         0         0
l2822858                 7.267      1.009          0          0         0         0
l2841620                 7.222      1.003          0          0         0         0
l3727709                 7.359      1.022          0          0         0         0
l3727710                 7.359      1.022          0          0         0         0
n1136667                 7.429      1.032     0.2334      3.141    0.2271     3.058
196-29519                7.426      1.031     0.2334      3.142    0.2279     3.069
n1144666                  7.31      1.015          0          0         0         0
m1125989                  7.15     0.9931     0.1298      1.815    0.2445      3.42
l2898495                 7.124     0.9895     0.1389       1.95    0.2618     3.675
l3179674                 7.377      1.025          0          0         0         0
regxfmr_190-7361         7.045     0.9785    0.09423      1.338    0.1219      1.73
m1069249                 7.267      1.009          0          0         0         0
l2803194                 7.267      1.009          0          0         0         0
m1186065                 7.417       1.03    0.04905     0.6613   0.05792     0.781
m1186064                 7.417       1.03    0.04905     0.6614   0.05805    0.7827
d6231996-1_int           7.254      1.008          0          0         0         0
e206614                  7.254      1.008          0          0         0         0
m1209776                 7.417       1.03    0.04905     0.6613   0.05804    0.7825
m1209775                 7.416       1.03    0.04904     0.6613   0.05801    0.7822
l2804261                 7.406      1.029          0          0         0         0
l3178980                 7.406      1.029          0          0         0         0
m1047835                 7.138     0.9914          0          0         0         0
m1047836                 7.137     0.9914          0          0         0         0
m1125962                 7.192      0.999     0.1142      1.587     0.204     2.836
l3123452                 7.183     0.9977     0.1174      1.634    0.2125     2.958
p893610                  7.165     0.9953          0          0         0         0
m1108302                 7.165     0.9952          0          0         0         0
p829797                  6.837     0.9497          0          0         0         0
l2841629                 7.429      1.032          0          0         0         0
l3254218                 7.321      1.017    0.06497     0.8874   0.08966     1.225
l3778577                   7.3      1.014          0          0         0         0
l2820531                 7.376      1.024     0.2264      3.069    0.2262     3.067
l3626914                 7.424      1.031          0          0         0         0
l2955077                 7.284      1.012    0.08375       1.15    0.1273     1.748
m1166374                 7.348      1.021    0.06709      0.913   0.09249     1.259
n1139552                 7.307      1.015     0.1981      2.712    0.2615     3.578
p827533                  7.246      1.006          0          0         0         0
n1139538                 7.245      1.006          0          0         0         0
l3160098                 7.383      1.026     0.1582      2.142    0.2275     3.081
m1089213                 7.378      1.025     0.1591      2.156    0.2322     3.147
l2820590                 7.401      1.028          0          0         0         0
l3104125                 7.074     0.9825    0.09196        1.3    0.1195     1.689
q14411                   7.299      1.014     0.2375      3.253    0.1931     2.645
l3118855                 7.374      1.024     0.1598      2.167    0.2359     3.199
l3231255                 7.372      1.024     0.1603      2.174    0.2383     3.233
d5861005-2_int           7.277      1.011    0.08576      1.178    0.1322     1.817
m1027071                 7.292      1.013          0          0         0         0
l3235241                 7.292      1.013          0          0         0         0
l2729409                  7.25      1.007          0          0         0         0
l2841624                  7.25      1.007          0          0         0         0
l3235254                 7.385      1.026     0.2274      3.079    0.2484     3.363
m1026855                  7.38      1.025     0.2269      3.074     0.251     3.401
m1026851                 7.356      1.022      0.225      3.059    0.2629     3.574
m1069466                  7.35      1.021          0          0         0         0
m1069524                 7.174     0.9965          0          0         0         0
m1027091                 7.173     0.9963          0          0         0         0
m1027092                 7.173     0.9963          0          0         0         0
l2766747                 7.217      1.002          0          0         0         0
p827560                  7.222      1.003          0          0         0         0
l2822877                 7.277      1.011     0.2426      3.334    0.1851     2.544
n1138598                 7.276      1.011     0.2428      3.337    0.1848      2.54
m1009715                 7.225      1.003          0          0         0         0
m1009705                 7.223      1.003          0          0         0         0
l3198347                 7.485       1.04          0          0         0         0
m1108489                 6.817     0.9469          0          0         0         0
m1108492                 6.817     0.9469          0          0         0         0
l3226771                 7.227      1.004          0          0         0         0
l3189190                 7.227      1.004          0          0         0         0
l2991918                 6.993     0.9713          0          0         0         0
l2954339                 6.979     0.9694          0          0         0         0
l3048200                 6.978     0.9693          0          0         0         0
l3160861                  7.46      1.036          0          0         0         0
n1142098                 6.837     0.9497          0          0         0         0
m1047795                 7.171     0.9961          0          0         0         0
m1047552                 7.419       1.03     0.2332      3.143    0.2301     3.101
l2804283                 7.376      1.025          0          0         0         0
l2916627                 7.375      1.024          0          0         0         0
l3029498                 7.132     0.9907    0.08703       1.22    0.1141       1.6
m1047773                 7.183     0.9977          0          0         0         0
l2973152                  7.18     0.9972          0          0         0         0
l2822870                 7.332      1.018          0          0         0         0
m1166369                 7.261      1.008          0          0         0         0
l2839305                  7.26      1.008          0          0         0         0
l2710508                 7.136     0.9912          0          0         0         0
m1026861                 7.379      1.025     0.2267      3.072    0.2519     3.414
m1026858                 7.371      1.024     0.2258      3.063    0.2562     3.475
l3082992                 7.168     0.9956          0          0         0         0
m1010011                 7.145     0.9924          0          0         0         0
l3214069                 7.197     0.9996     0.1125      1.564    0.1997     2.775
m1026655                  7.28      1.011     0.1892      2.599    0.2698     3.706
n1141475                  7.25      1.007          0          0         0         0
l3197643                 7.058     0.9803          0          0         0         0
m1026339                 7.058     0.9803          0          0         0         0
m1108268                 7.423      1.031          0          0         0         0
m1069310                 7.271       1.01     0.2417      3.325    0.1747     2.403
m1047423                 7.175     0.9965          0          0         0         0
m1047420                 7.174     0.9964          0          0         0         0
m1069613                 7.224      1.003          0          0         0         0
m1026823                 7.307      1.015          0          0         0         0
l2879087                 7.307      1.015          0          0         0         0
d5806920-1_int           7.308      1.015          0          0         0         0
m1027039                 7.261      1.009     0.2086      2.873    0.2811     3.871
l3552667                 7.459      1.036          0          0         0         0
m1026890                 7.325      1.017          0          0         0         0
l2954357                 7.325      1.017          0          0         0         0
m1069438                 7.302      1.014     0.2368      3.243    0.1938     2.655
l2785530                 7.221      1.003          0          0         0         0
l2822868                  7.22      1.003          0          0         0         0
n1139264                  7.35      1.021          0          0         0         0
p827523                  7.425      1.031          0          0         0         0
